FunctionalGroupName,FunctionalGroupIndex,TemperatureCurve1,TemperatureCurve2,TemperatureCurve3,TemperatureCurve4,FractionANPPtoLeaf,LeafBiomassToLAI,KLAI,MaximumLAI,MoistureCurve2,MoistureCurve3,WoodDecayRate,MonthlyWoodMortality,LongevityMortalityShape,FoliageDropMonth,CoarseRootFraction,FineRootFraction,MinLAI,GrowthLAI,Fwue1,Fwue2
Tracheid,1,23,45,4,3.5,0.48,-0.9,6000,4.5,1,0.9,0.14,1.00E-04,15,7,0.2,0.1,0.1,0.47,1,0
Ring,2,23,45,4,2.75,0.48,-0.9,6000,4,0.9,0.6,0.14,1.00E-04,15,9,0.1,0.1,0.075,0.47,1,0
Diffuse,3,23,45,3,3.5,0.4,-0.9,6000,4.5,1,0.9,0.14,1.00E-04,15,9,0.1,0.1,0.1,0.47,1,0
